TAZ,HHBASE
2057,336
2059,218
2149,470
2150,335
2151,473
2152,285
2153,285
2154,295
2164,84
2165,505
2166,337
2167,528
2168,489
2169,487
2170,609
2171,2
2172,94
2173,349
2174,318
2175,251
2176,747
2177,13
2178,172
2179,421
2180,139
2181,447
2182,100
2183,673
2184,90
2185,189
2186,108
2187,742
2188,1
2204,286
2205,283
2206,246
2207,120
2208,300
2209,304
2210,412
2211,599
2212,428
2213,487
2214,442
2216,426
2217,508
2218,540
2219,52
2220,244
2221,702
2222,511
2223,637
2224,143
2225,440
2226,394
2227,38
2228,233
2229,300
2230,431
2231,1189
2232,789
2233,187
2234,279
2235,4
2236,1098
2237,1
2238,203
2239,0
2240,7
2241,0
2242,365
2243,87
2246,152
2247,164
2248,237
2249,319
2250,25
2251,1
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,160
2259,0
2260,0
2261,0
2262,518
2263,370
2264,0
2265,135
2266,2
2267,259
2268,421
2269,1104
2270,461
2271,1
2272,228
2273,117
2274,158
2275,461
2276,1
2277,163
2278,886
2279,218
2280,128
2281,5
2282,583
2283,55
2284,15
2285,309
2286,278
2287,343
2288,545
2289,453
2290,970
2291,548
2292,732
2293,613
2294,397
2295,868
2296,406
2297,754
2298,184
2299,612
2300,729
2301,144
2302,466
2303,295
2304,105
2305,701
2306,613
2307,343
2308,599
2309,377
2310,818
2311,496
2312,421
2313,76
2314,268
2315,424
2316,526
2317,416
2318,688
2319,245
2320,531
2321,262
2322,559
2323,473
2324,452
2325,411
2326,371
2327,443
2328,631
2329,12
2330,0
2331,6
2332,297
2333,453
2334,357
2335,96
2336,453
2337,254
2338,963
2339,5
2340,311
2341,452
2342,199
2343,8
2344,0
2345,421
2346,409
2347,872
2348,361
2349,663
2350,207
2351,420
2352,0
2353,18
2354,0
2355,104
2356,348
2357,266
2358,101
2359,332
2360,85
2361,359
2362,354
2363,372
2364,109
2365,619
2366,574
2367,323
2368,476
2369,3
2370,660
2371,353
2372,500
2373,344
2374,438
2375,90
2376,202
2377,615
2378,223
2379,400
2380,826
2381,454
2382,170
2383,186
2384,24
2385,633
2386,251
2387,861
2388,983
2389,654
2390,480
2391,404
2392,770
2393,510
2394,321
2395,438
2396,128
2397,214
2398,113
2399,144
2400,0
2401,342
2402,377
2403,628
2404,332
2405,497
2406,274
2407,80
2408,381
2409,125
2410,385
2411,349
2412,112
2413,383
2414,1
2415,633
2416,278
2417,580
2418,152
2419,175
2420,222
2421,47
2422,32
2423,355
2424,39
2425,126
2426,504
2427,190
2428,477
2429,140
2430,66
2431,438
2432,254
2433,4
2434,43
2435,241
2436,509
2437,293
2438,6
2439,36
2440,17
2441,42
2442,91
2443,145
2444,33
2445,477
2446,171
2447,298
2448,305
2449,174
2450,129
2451,223
2452,308
2453,243
2454,854
2455,194
2456,24
2457,343
2458,0
2459,2
2460,74
2461,236
2462,297
2463,400
2464,295
2465,260
2466,314
2467,443
2468,245
2469,0
2470,360
2471,0
2472,0
2473,0
2474,114
2475,537
2476,434
2477,176
2478,0
2479,0
2480,0
2481,35
2482,513
2483,1
2484,0
2485,0
