TRACT,PAGE0,PAGE1,PAGE2,PAGE3,PAGE4,HHINC1,HHINC2,HHINC3,HHINC4,HHWORK0,HHWORK1,HHWORK2,HHWORK3,HHSIZE1,HHSIZE2,HHSIZE3,HHSIZE4
49035114000,65,184,1256,328,395,576,311,334,256,431,757,289,0,905,462,92,18
49035102300,198,476,1253,378,453,678,505,301,154,895,424,226,93,1125,288,100,125
49035100100,240,362,910,109,126,220,150,205,146,148,254,233,86,214,302,108,97
49035100200,118,124,623,139,331,129,242,38,110,96,182,174,67,78,257,112,72
49035114800,549,607,1116,635,748,297,744,66,91,249,384,445,120,106,546,241,305
49035100700,432,459,1633,341,294,500,429,324,292,262,730,509,44,739,520,111,175
49035100800,72,347,1175,129,703,211,328,503,331,428,622,292,31,696,545,97,35
49035101000,454,374,1232,494,411,364,447,278,254,260,548,428,107,534,371,243,195
49035101102,200,437,2230,379,707,454,519,821,433,546,962,691,28,1138,745,241,103
49035101101,191,315,1200,124,72,271,319,260,210,99,663,268,30,555,389,70,46
49035101200,468,534,2148,441,499,477,680,499,447,339,922,757,85,863,847,236,157
49035101900,18,743,1339,202,299,440,328,531,251,393,792,345,20,1007,485,50,8
49035101700,178,1108,1944,192,304,322,568,654,444,301,928,651,108,1015,642,237,94
49035101500,184,857,1366,303,202,260,547,460,154,154,863,340,64,688,491,162,80
49035101400,439,2810,1882,61,212,272,213,264,85,227,431,155,21,193,349,118,174
49035102000,246,423,1437,242,197,293,409,455,218,263,654,382,76,686,461,148,80
49035101800,152,660,2000,259,282,519,335,424,362,418,683,460,79,707,569,265,99
49035101600,308,1407,1520,291,394,668,371,417,299,499,602,487,167,773,471,294,217
49035102900,903,695,2142,712,408,795,516,580,499,896,793,619,82,1140,744,316,190
49035103000,803,306,1813,279,222,356,265,283,320,171,493,392,168,352,342,262,268
49035103500,622,489,1963,472,405,339,567,325,449,245,690,677,68,487,639,343,211
49035103600,530,454,938,414,327,248,400,124,171,137,346,360,100,193,312,159,279
49035104100,748,293,910,476,572,227,572,179,117,332,423,303,37,251,400,127,317
49035104200,1068,430,2092,1216,1542,730,973,511,404,626,1008,875,109,659,1071,406,482
49035103100,752,502,2329,543,317,595,359,453,449,405,571,735,145,612,639,318,287
49035103400,615,674,2288,406,430,507,477,451,412,205,814,658,170,621,642,272,312
49035103700,559,145,1224,397,306,212,414,135,311,133,419,418,102,255,410,171,236
49035104000,786,503,1333,474,465,455,392,170,187,226,439,451,88,245,319,227,413
49035111500,362,335,1032,192,147,125,210,329,163,137,476,169,45,370,199,145,113
49035103200,552,226,2317,350,651,741,365,573,478,647,773,645,92,1133,480,349,195
49035103300,430,821,2258,343,327,496,530,456,498,388,827,692,73,891,697,189,203
49035103800,464,381,1179,208,226,250,261,187,285,114,401,396,72,269,338,157,219
49035103900,858,695,1937,181,476,347,525,250,342,235,450,604,175,319,497,221,427
49035104300,600,378,1599,203,265,350,318,363,204,145,603,431,56,422,367,195,251
49035111400,1329,844,3252,707,652,680,525,881,684,472,1245,925,128,972,958,284,556
49035104900,692,265,1677,284,263,278,192,367,467,128,757,311,108,507,320,166,311
49035114100,547,358,1496,309,232,318,360,287,300,214,543,412,96,497,390,132,246
49035104400,415,139,652,344,319,143,315,112,89,148,248,231,32,135,271,63,190
49035111600,1430,1373,3615,446,512,741,591,1048,436,553,1394,759,110,1272,790,377,377
49035111702,779,484,2112,646,433,368,278,566,524,376,593,671,96,416,711,260,349
