TAZ,TRACT,PUMA,geometry,REGION
1,49003960400,03001,"c(-112.078520044628, 41.5869833144902)",1
10,49003960500,03001,"c(-112.03892504324, 41.5793975382006)",1
100,49003960801,03001,"c(-112.040965341696, 41.4477605683769)",1
1000,49035114000,35002,"c(-111.895378554539, 40.7573879033672)",1
1001,49035114000,35002,"c(-111.892517407186, 40.7573894663343)",1
1002,49035114000,35002,"c(-111.889653849952, 40.7573907835983)",1
1003,49035114000,35002,"c(-111.903940529534, 40.7552059297936)",1
1004,49035114000,35002,"c(-111.901083169476, 40.7552079299633)",1
1005,49035114000,35002,"c(-111.898237027101, 40.7552096231812)",1
1006,49035114000,35002,"c(-111.895377314548, 40.7552115054499)",1
1007,49035114000,35002,"c(-111.892516153351, 40.7552123544209)",1
1008,49035114000,35002,"c(-111.889651671796, 40.7552141521043)",1
1009,49035114000,35002,"c(-111.903931450258, 40.7519384846882)",1
101,49003960801,03001,"c(-112.034365316211, 41.4469328629772)",1
1010,49035114000,35002,"c(-111.901072935145, 40.7519447227462)",1
1011,49035114000,35002,"c(-111.898235302505, 40.7519453353651)",1
1012,49035114000,35002,"c(-111.895376157101, 40.7519471144309)",1
1013,49035114000,35002,"c(-111.892514201064, 40.7519480728763)",1
1014,49035114000,35002,"c(-111.889650304329, 40.7519506939854)",1
1015,49035102300,35002,"c(-111.883929988791, 40.7595666522746)",1
1016,49035102300,35002,"c(-111.881068006361, 40.7595684038552)",1
1017,49035102300,35002,"c(-111.886792350994, 40.7573929694181)",1
1018,49035102300,35002,"c(-111.883930130745, 40.7573931319252)",1
1019,49035102300,35002,"c(-111.88106566357, 40.7573953418813)",1
102,49003960801,03001,"c(-112.054232332049, 41.4425572275537)",1
1020,49035102300,35002,"c(-111.886791577381, 40.7552160209787)",1
1021,49035102300,35002,"c(-111.883927147663, 40.7552177194259)",1
1022,49035102300,35002,"c(-111.881064427469, 40.7552197140042)",1
1023,49035102300,35002,"c(-111.886789148783, 40.7519515379473)",1
1024,49035102300,35002,"c(-111.883925974931, 40.7519548758725)",1
1025,49035102300,35002,"c(-111.881061300397, 40.7519555066793)",1
1026,49035100100,35002,"c(-111.919059824325, 40.8062207133763)",1
1027,49035100100,35002,"c(-111.90946652539, 40.7912651132586)",1
1028,49035100100,35002,"c(-111.901157614845, 40.7858895742629)",1
1029,49035100200,35002,"c(-111.907117430919, 40.8079866478446)",1
103,49003960801,03001,"c(-112.048064467889, 41.4425106969281)",1
1030,49035100200,35002,"c(-111.874004668749, 40.8101108219207)",1
1031,49035100200,35002,"c(-111.888278334953, 40.7829618226234)",1
1032,49035114800,35002,"c(-111.86352325658, 40.7907982261632)",1
1033,49035114800,35002,"c(-111.841894857145, 40.795177964699)",1
1034,49035100100,35002,"c(-111.907814311178, 40.7736950431094)",1
1035,49035100100,35002,"c(-111.903965824012, 40.7737043554587)",1
1036,49035100100,35002,"c(-111.907864040611, 40.7791484758332)",1
1037,49035100100,35002,"c(-111.903968676375, 40.7791245909817)",1
1038,49035100100,35002,"c(-111.901107737003, 40.7769648033389)",1
1039,49035100700,35002,"c(-111.89711245255, 40.7855840120987)",1
104,49003960801,03001,"c(-112.040655586987, 41.4419750317283)",1
1040,49035100700,35002,"c(-111.897580464999, 40.7789607927467)",1
1041,49035100700,35002,"c(-111.892846306688, 40.7786883615376)",1
1042,49035100700,35002,"c(-111.887792683962, 40.7779235371329)",1
1043,49035100800,35002,"c(-111.895362109693, 40.7737328498431)",1
1044,49035100800,35002,"c(-111.888707625525, 40.7739018173408)",1
1045,49035114800,35002,"c(-111.8817403139, 40.7828888711056)",1
1046,49035101000,35002,"c(-111.874408835395, 40.7817841768444)",1
1047,49035101000,35002,"c(-111.86715563055, 40.782191546745)",1
1048,49035101000,35002,"c(-111.88054247013, 40.7779427245032)",1
1049,49035101000,35002,"c(-111.87455879846, 40.7779353226816)",1
105,49003960801,03001,"c(-112.054321381753, 41.4350012103748)",1
1050,49035101000,35002,"c(-111.86857693764, 40.7779245387417)",1
1051,49035101102,35002,"c(-111.882873396319, 40.7751133380944)",1
1052,49035101101,35002,"c(-111.875307133181, 40.7745371420704)",1
1053,49035101101,35002,"c(-111.875307709837, 40.7710936406353)",1
1054,49035101200,35002,"c(-111.867628862756, 40.7746720215381)",1
1055,49035101200,35002,"c(-111.859288308501, 40.7772854273989)",1
1056,49035114800,35002,"c(-111.847927536941, 40.7731353059681)",1
1057,49035101200,35002,"c(-111.867817548493, 40.7710915804021)",1
1058,49035101200,35002,"c(-111.861070879842, 40.7716564921476)",1
1059,49035101200,35002,"c(-111.855172422971, 40.7716646540579)",1
106,49003960801,03001,"c(-112.047683568233, 41.4341847547514)",1
1060,49035101900,35002,"c(-111.878212642352, 40.7682646781488)",1
1061,49035101900,35002,"c(-111.873921035015, 40.7682654294088)",1
1062,49035101900,35002,"c(-111.878210791541, 40.7660917348196)",1
1063,49035101900,35002,"c(-111.873921183241, 40.7660922799907)",1
1064,49035101900,35002,"c(-111.878209593476, 40.7639170718088)",1
1065,49035101900,35002,"c(-111.87392077098, 40.7639173121196)",1
1066,49035101900,35002,"c(-111.87820805964, 40.7617418277826)",1
1067,49035101900,35002,"c(-111.873918930539, 40.7617432499431)",1
1068,49035101700,35002,"c(-111.866758438602, 40.7671792098377)",1
1069,49035101700,35002,"c(-111.866758524961, 40.7639196475269)",1
107,49003960801,03001,"c(-112.03996831866, 41.4339690636175)",1
1070,49035101700,35002,"c(-111.866758708032, 40.7617454160874)",1
1071,49035101500,35002,"c(-111.859592007263, 40.7671807666008)",1
1072,49035101500,35002,"c(-111.85453630952, 40.7671811274763)",1
1073,49035101500,35002,"c(-111.859594438375, 40.7628345258469)",1
1074,49035101500,35002,"c(-111.854540010564, 40.7628343665313)",1
1075,49035101400,35002,"c(-111.844001443327, 40.7635231785102)",1
