TAZID,CO_TAZID,TOTHH,TOTPOP,HHSIZE,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
141,570141,149,412.7805061,2.770338967,1239.269928,0,5,733,1,3,189,1,19,97.5078534,180.7730496,0,9.989024773,60843,0,0,0,57,WEBER
142,570142,31,88.09943656,2.841917308,16.07110338,0,0,0,0,0,0,0,0,14.07329843,0,0,1.997804955,60843,0,0,0,57,WEBER
143,570143,52,154.4214843,2.969643929,25.10555755,0,0,0,0,0,0,0,0,21.10994764,0,0,3.995609909,60843,0,0,0,57,WEBER
144,570144,44,118.7857572,2.6996763,26.06538621,0,0,0,0,0,0,0,0,14.07329843,0,8.995380351,2.996707432,66989,0,0,0,57,WEBER
145,570145,169,512.7585184,3.034074073,45.03887777,0,0,0,0,0,0,0,0,12.06282723,0,20.98922082,11.98682973,66989,0,0,0,57,WEBER
146,570146,81,234.6018704,2.896319388,29.03909806,0,0,0,0,0,0,0,0,10.05235602,0,12.99332717,5.993414864,66989,0,0,0,57,WEBER
147,570147,125,403.8715743,3.230972594,139.0111674,1,0,0,0,0,0,0,2,15.07853403,0,111.942511,8.990122295,66989,0,0,0,57,WEBER
148,570148,280,855.2574515,3.054490898,270.9818162,17,1,0,6,1,146,6,13,6.031413613,0,55.97125552,18.97914707,82188,0,0,0,57,WEBER
149,570149,350,1105.697423,3.159135494,97.03248298,0,0,0,0,20,3,0,19,13.06806283,0,17.9907607,23.97365945,82191,0,0,0,57,WEBER
150,570150,539,1803.563746,3.346129399,425.9593917,136,2,5,85,10,67,0,84,0,0,0,36.95939166,82684,0,0,0,57,WEBER
151,570151,243,800.8139795,3.29553078,174.9897601,15,3,1,14,8,87,7,17,2.010471204,0,3.997946823,16.98134211,82427,921,0,0,57,WEBER
152,570152,521,1663.0006,3.191939731,169.9588466,0,0,17,3,7,26,20,13,4.020942408,0,43.97741505,35.96048918,82684,0,1163,0,57,WEBER
153,570153,13,29.69643929,2.284341484,24.08790771,0,0,0,0,0,1,4,1,17.08900524,0,0,0.998902477,60843,0,0,0,57,WEBER
154,570154,63,190.0572115,3.016781135,114.0838965,0,0,0,0,0,0,2,0,25.13089005,0,82.95739657,3.995609909,60843,0,0,0,57,WEBER
155,570155,121,386.0537108,3.190526536,57.21635071,0,1,0,0,0,0,4,1,43.22513089,0,0,7.991219818,60843,0,0,0,57,WEBER
156,570156,110,348.438221,3.167620191,47.15352348,0,0,0,0,1,2,4,1,31.16230366,0,0,7.991219818,60843,0,0,0,57,WEBER
157,570157,46,109.8768254,2.388626639,38.1642467,0,0,0,0,0,0,3,0,32.16753927,0,0,2.996707432,60843,0,0,0,57,WEBER
158,570158,245,686.9776289,2.803990322,116.9848325,0,20,0,5,7,2,15,13,4.020942408,0,33.98254799,16.98134211,56064,768,0,0,57,WEBER
159,570159,547,1657.061312,3.029362545,330.0284811,0,1,1,4,12,194,8,6,18.09424084,0,48.97484858,36.95939166,60183,0,0,1997,57,WEBER
160,570160,99,242.5209209,2.449706272,68.00586831,0,0,0,0,0,0,0,9,7.036649215,0,44.97690176,6.992317341,74507,0,0,0,57,WEBER
161,570161,266,754.289558,2.83567503,56.97326379,0,0,0,0,1,1,1,0,2.010471204,0,33.98254799,17.98024459,74507,0,0,0,57,WEBER
162,570162,660,1536.295793,2.327720898,1123.027195,47,2,428,167,14,203,55,132,16.08376963,0,13.99281388,44.95061148,74507,0,0,0,57,WEBER
163,570163,6,14.84821964,2.474703273,50.00164254,0,0,0,0,2,4,0,36,1.005235602,0,6.99640694,0,74507,0,0,0,57,WEBER
164,570164,32,95.02860573,2.969643929,10.00673628,0,0,0,0,0,2,0,1,2.010471204,0,2.998460117,1.997804955,74507,0,0,0,57,WEBER
165,570165,29,76.22086084,2.628305546,167.9763493,31,0,0,0,2,52,0,28,1.005235602,0,51.9733087,1.997804955,74507,0,0,0,57,WEBER
166,570166,95,271.2274788,2.855026093,43.16095413,0,0,0,0,0,1,4,0,32.16753927,0,0,5.993414864,68646,0,0,0,57,WEBER
167,570167,23,57.41311596,2.496222433,21.09204579,0,0,0,0,0,0,0,1,18.09424084,0,0,1.997804955,68532,0,0,0,57,WEBER
168,570168,99,279.1465293,2.819661912,55.128443,11,0,0,3,2,1,1,4,26.13612565,0,0,6.992317341,68532,0,0,0,57,WEBER
169,570169,169,465.2442155,2.752924352,105.1334266,0,0,0,0,4,58,1,2,28.14659686,0,0,11.98682973,68532,0,0,0,57,WEBER
170,570170,14,46.52442155,3.323172968,6.025080488,0,0,0,0,0,0,0,0,5.02617801,0,0,0.998902477,74607,0,0,0,57,WEBER
171,570171,58,160.3607722,2.7648409,118.0813301,0,0,0,0,0,0,0,1,25.13089005,0,87.9548301,3.995609909,74607,0,0,0,57,WEBER
172,570172,82,215.7941255,2.631635677,9.00912167,0,0,0,0,0,0,0,0,3.015706806,0,0,5.993414864,74607,0,0,0,57,WEBER
173,570173,225,627.5847503,2.789265557,747.0843482,252,30,11,1,128,15,16,173,27.14136126,0,78.95944975,14.98353716,74607,0,0,0,57,WEBER
174,570174,15,44.54465893,2.969643929,0.998902477,0,0,0,0,0,0,0,0,0,0,0,0.998902477,80065,0,0,0,57,WEBER
175,570175,10,23.75715143,2.375715143,113.1005719,0,0,0,0,0,0,0,0,0,89.11347518,22.98819423,0.998902477,80065,0,0,0,57,WEBER
176,570176,475,1398.702291,2.944636402,79.96210748,0,0,0,1,1,1,2,4,3.015706806,0,35.9815214,31.96487927,80065,0,0,0,57,WEBER
177,570177,259,774.0871842,2.988753607,833.9907158,11,129,495,13,53,72,6,35,2.010471204,0,0,17.98024459,74269,0,0,0,57,WEBER
178,570178,588,1878.794726,3.195229126,895.908876,22,1,211,142,2,58,135,137,5.02617801,0,142.9265989,39.95609909,74269,0,0,0,57,WEBER
179,570179,341,1134.403981,3.326697891,279.8899608,14,0,6,11,1,3,3,9,4.020942408,0,205.8942614,22.97475698,74269,0,0,0,57,WEBER
180,570180,17,51.4738281,3.027872241,13.99222965,0,0,0,0,0,0,0,0,0,0,12.99332717,0.998902477,82031,0,0,0,57,WEBER
181,570181,100,308.8429686,3.088429686,15.99231734,0,0,0,9,0,0,0,0,0,0,0,6.992317341,82031,0,0,0,57,WEBER
182,570182,66,195.006618,2.954645727,113.9395899,0,0,0,0,0,0,1,1,0,0,106.9450775,4.994512386,75428,0,0,0,57,WEBER
183,570183,869,2739.001584,3.151900557,445.9183074,3,1,2,9,13,268,35,23,0,0,32.98306129,58.93524616,89059,583,0,1895,57,WEBER
184,570184,878,2657.831316,3.027142729,80.92747581,0,1,4,0,0,0,0,3,0,0,12.99332717,59.93414864,75428,0,0,0,57,WEBER
185,570185,408,981.9622592,2.406770243,239.9797406,0,50,1,0,13,28,41,77,2.010471204,0,0,27.96926936,47778,0,0,0,57,WEBER
186,570186,156,409.8108622,2.626992706,690.0036341,51,167,4,2,88,49,142,173,3.015706806,0,0,10.98792725,47778,0,0,0,57,WEBER
187,570187,598,1931.258435,3.229529156,185.945249,0,1,0,0,25,71,12,17,0,0,18.99024741,40.95500157,85949,753,0,0,57,WEBER
188,570188,176,565.2222278,3.211489931,12.98682973,0,0,0,0,0,0,1,0,0,0,0,11.98682973,84050,0,0,0,57,WEBER
189,570189,349,1164.10042,3.335531289,127.9705797,0,0,0,1,0,88,2,7,0,0,5.996920234,23.97365945,63268,0,681,0,57,WEBER
190,570190,347,961.1747517,2.769956057,31.97109298,0,0,0,0,0,0,0,3,0,0,4.997433528,23.97365945,68447,0,0,0,57,WEBER
191,570191,525,1433.348136,2.730186926,267.9117262,15,7,0,0,10,63,10,32,0,0,94.95123704,35.96048918,63759,550,0,0,57,WEBER
192,570192,464,1349.208225,2.907776347,92.96005431,0,10,0,0,5,2,0,1,3.015706806,0,39.97946823,31.96487927,70707,0,0,0,57,WEBER
193,570193,151,463.2644529,3.067976509,2310.958638,15,148,304,1244,18,147,1,320,4.020942408,0,99.94867057,9.989024773,62747,0,0,0,57,WEBER
194,570194,128,402.881693,3.147513227,2131.988069,0,2,1153,401,6,180,1,376,0,0,3.997946823,8.990122295,62747,0,0,0,57,WEBER
195,570195,428,1249.230213,2.91876218,497.918177,13,25,11,147,8,41,39,54,3.015706806,0,127.9342983,28.96817184,45645,0,0,0,57,WEBER
196,570196,1443,3865.486514,2.678784833,972.8689656,15,46,13,0,3,297,192,242,2.010471204,0,63.96714916,98.89134525,63780,1436,1149,0,57,WEBER
197,570197,83,225.6929386,2.719192031,211.9206297,0,4,0,1,5,4,9,30,1.005235602,0,151.9219793,5.993414864,57050,0,0,0,57,WEBER
198,570198,815,2427.188971,2.978145977,359.9113341,46,58,4,5,4,22,26,86,0,0,52.9727954,55.93853873,57050,0,0,0,57,WEBER
199,570199,414,1254.179619,3.02941937,405.9692694,4,1,0,8,8,57,6,294,0,0,0,27.96926936,57050,0,0,0,57,WEBER
200,570200,334,875.0550777,2.619925382,2298.747984,666,190,157,80,9,69,42,610,1.005235602,0,451.767991,22.97475698,61063,624,0,0,57,WEBER
201,570201,640,1607.567247,2.511823823,999.9575606,175,93,0,0,5,233,206,233,2.010471204,0,8.995380351,43.951709,58354,0,0,0,57,WEBER
202,570202,126,342.4989331,2.718245501,11.0005935,0,0,0,0,0,0,0,0,2.010471204,0,0,8.990122295,58354,0,0,0,57,WEBER
203,570203,279,786.9556412,2.820629538,44.01056068,0,0,10,0,0,1,8,0,6.031413613,0,0,18.97914707,59979,0,0,0,57,WEBER
204,570204,497,1451.166,2.919851107,355.9529316,20,136,4,1,0,79,12,51,0,0,18.99024741,33.96268423,66466,524,0,0,57,WEBER
205,570205,325,992.8509536,3.054926011,34.9758545,0,0,0,1,1,5,6,0,0,0,0,21.9758545,66466,0,0,0,57,WEBER
