TAZID,CO_TAZID,TOTHH,TOTPOP,HHSIZE,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME
141,570141,148.6666667,412.287601,2.773234984,1241.441424,0,4,733.6666667,0.666666667,5,190.3333333,1,19.66666667,96.33451817,180.7730496,0,10.00052329,60843,0,0,0,57,WEBER
142,570142,32.33333333,92.35213653,2.856251645,16.04888856,0,0,0,0,0,0,0,0,14.0487839,0,0,2.000104657,60843,0,0,0,57,WEBER
143,570143,52,158.9787208,3.057283092,25.07338516,0,0,0,0,0,0,0,0,21.07317585,0,0,4.000209315,60843,0,0,0,57,WEBER
144,570144,31.66666667,83.11790323,2.624775892,25.05142284,0,0,0,0,0,0,0,0,14.0487839,0,9.002534284,2.000104657,66989,0,0,0,57,WEBER
145,570145,175.6666667,516.1964743,2.938499854,80.0512305,0,0,0,0,0,0,0,0,12.04181477,0,55.67540212,12.33401361,66989,0,0,0,57,WEBER
146,570146,92.33333333,263.8490271,2.85757069,48.04530431,0,0.333333333,0.333333333,0,0.666666667,0.333333333,1.666666667,0.666666667,11.03833021,0,26.67337913,6.333594976,66989,0,0,0,57,WEBER
147,570147,140,439.3284161,3.138060115,64.38633974,0.333333333,3,1.333333333,0.666666667,0,1.666666667,1.666666667,1,14.38316217,0,30.66937328,9.667137624,66989,0,0,0,57,WEBER
148,570148,261.3333333,798.5190295,3.055557511,256.3546641,15,2.333333333,1,7.333333333,0.666666667,153.6666667,5.333333333,14,7.02439195,0,31.99599692,18.00094192,82188,0,0,0,57,WEBER
149,570149,341.6666667,1096.354401,3.208842149,144.3922015,0.666666667,0,1,0,18.33333333,5.666666667,0,18.66666667,13.04529934,0,64.0123653,23.00120356,82191,0,0,0,57,WEBER
150,570150,537.3333333,1802.857979,3.35519475,462.0027934,131.3333333,3.333333333,9,90,6.666666667,77,0.666666667,88.66666667,0,0,18.33419055,37.00193616,82684,0,0,0,57,WEBER
151,570151,247,818.9752475,3.315689261,186.009845,15,4.333333333,1.666666667,18.66666667,3.333333333,90,9,17,2.006969129,0,8.001986271,17.00088959,82427,921,0,0,57,WEBER
152,570152,509,1632.989285,3.208230422,160.0162336,0,0.333333333,24.66666667,3.333333333,3.333333333,26.33333333,18.33333333,14.66666667,4.013938257,0,30.33384945,34.66844584,82684,0,1163,0,57,WEBER
153,570153,14,34.30158442,2.450113173,21.05928992,0,0,0,0,0.333333333,0,1,1.666666667,17.05923759,0,0,1.000052329,60843,0,0,0,57,WEBER
154,570154,56.33333333,174.141154,3.091263089,72.08611008,0,0,0.333333333,0,0,0,3.333333333,0.666666667,25.08711411,0,38.99883899,3.666823653,60843,0,0,0,57,WEBER
155,570155,122.3333333,392.1698593,3.205748169,58.81692156,0,0.333333333,0,0,0.666666667,1.666666667,4.333333333,0.666666667,43.14983626,0,0,8.000418629,60843,0,0,0,57,WEBER
156,570156,108.6666667,341.3754294,3.141491682,49.77505446,0,0.333333333,0.666666667,0,1.666666667,1.666666667,5.333333333,1.666666667,31.10802149,0,0,7.333699634,60843,0,0,0,57,WEBER
157,570157,45.33333333,104.2260946,2.299105027,36.77832971,0,0,0,0,0,0,1.666666667,0,32.11150606,0,0,3.000156986,60843,0,0,0,57,WEBER
158,570158,244.6666667,701.8760477,2.868703192,99.01342563,0,20.33333333,0.333333333,5.666666667,6.666666667,3.333333333,12.33333333,13,4.013938257,0,16.33193112,17.00088959,56064,768,0,0,57,WEBER
159,570159,545,1638.931575,3.0072139,315.4001365,0,0.666666667,0.333333333,3.666666667,12.33333333,197.3333333,3.666666667,7.333333333,18.73147869,0,34.0000027,37.33532182,60183,0,0,1997,57,WEBER
160,570160,97.66666667,255.2931244,2.613922775,57.02109759,0,0,0,0,0.333333333,0.333333333,0,8.666666667,7.02439195,0,33.99633934,6.667032967,74507,0,0,0,57,WEBER
161,570161,252.3333333,708.1514828,2.806412745,97.34684658,0,0,0.333333333,0,0,2,1.666666667,0,2.006969129,0,74.00565453,17.33422292,74507,0,0,0,57,WEBER
162,570162,660.6666667,1535.357393,2.323951655,1031.06298,48.66666667,1,375,165.6666667,13,173,46.66666667,116.6666667,16.72485933,0,29.6690992,45.00235479,74507,0,0,0,57,WEBER
163,570163,6.333333333,15.83337559,2.500006673,45.67020356,0,0,0,0,0.666666667,7,1.333333333,35.33333333,1.003484564,0,0,0.333385662,74507,0,0,0,57,WEBER
164,570164,34.66666667,104.22659,3.006536249,28.34393496,0,0,0,0,0,0.333333333,0,2.333333333,2.006969129,0,21.33686117,2.333437991,74507,0,0,0,57,WEBER
165,570165,28.33333333,74.87154154,2.642524996,193.0168431,38.66666667,0,8.666666667,5.333333333,2.666666667,55.33333333,0.666666667,35.66666667,1.003484564,0,43.01325388,2.000104657,74507,0,0,0,57,WEBER
166,570166,93,263.5337395,2.833696124,39.4416688,0,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,0.333333333,0,31.10802149,0,0,6.000313972,68646,0,0,0,57,WEBER
167,570167,23,60.0279712,2.609911791,24.06282681,0,0,0.666666667,0,0,1.333333333,0.666666667,1.333333333,18.06272216,0,0,2.000104657,68532,0,0,0,57,WEBER
168,570168,100,283.9837773,2.839837773,55.42429831,11.33333333,0,0,3,2,1.666666667,1.666666667,2.666666667,26.09059867,0,0,7.0003663,68532,0,0,0,57,WEBER
169,570169,167,452.8583044,2.711726374,105.7648101,0,0.333333333,0,0.666666667,3.333333333,58.33333333,2,1.666666667,28.0975678,0,0,11.33390895,68532,0,0,0,57,WEBER
170,570170,9.666666667,29.35241599,3.036456826,16.35147582,0,0,0,0,0,0.333333333,0.333333333,0,5.017422821,0,10.00071967,0.666666667,74607,0,0,0,57,WEBER
171,570171,61.33333333,176.1241972,2.871590172,61.4236377,0,0,0,0,0,0,0,1,25.08711411,0,31.00298095,4.333542648,74607,0,0,0,57,WEBER
172,570172,81.66666667,221.6443679,2.714012668,22.34422106,0,0,0,0,0,0,0,0,3.010453693,0,14.00017239,5.333594976,74607,0,0,0,57,WEBER
