TAZID,CO_FIPS,PARCEL_ID,OWN_TYPE,Shape_Area,ACRES
1,3,04-002-0018,Private,1843704.234,42.32407439
1,3,04-002-0025,Private,2022.326984,0.046424538
1,3,04-002-0026,Private,621877.03,14.2758091
1,3,04-039-0001,Private,916732.4894,21.04451103
1,3,04-039-0003,Private,275557.1743,6.325690494
1,3,04-039-0005,Private,3716.004774,0.085304606
2,3,04-032-0010,Private,144805.0802,3.324145422
2,3,04-032-0011,State,8300.701778,0.19055091
2,3,04-033-0010,Private,139573.5839,3.204051193
2,3,04-033-0011,Private,225888.0566,5.185486227
2,3,04-033-0012,Private,81829.38873,1.878475448
2,3,04-033-0014,Private,132797.5762,3.048501158
2,3,04-033-0015,Private,901.5038992,0.020694924
2,3,04-033-0016,Private,47718.1153,1.095417055
2,3,04-033-0017,Private,20257.49694,0.4650311
2,3,04-033-0018,Private,172365.4321,3.956820859
2,3,04-033-0023,Private,11490.74705,0.263781589
2,3,04-033-0024,Private,14939.09076,0.342941767
2,3,04-033-0025,Private,34757.3254,0.797889162
2,3,04-033-0032,Private,5000.462294,0.114790612
2,3,04-033-0033,Private,18922.40578,0.434382747
2,3,04-033-0035,Private,15047.79922,0.345437279
2,3,04-033-0040,Private,2822.981132,0.064804355
2,3,04-033-0050,Private,24264.1882,0.557008704
2,3,04-033-0051,Private,3563.555182,0.081804973
2,3,04-033-0059,Private,25520.17014,0.585841026
2,3,04-033-0060,Private,226400.3341,5.19724607
2,3,04-033-0061,Private,4044.806411,0.092852576
2,3,04-033-0062,Private,4044.627576,0.092848471
2,3,04-033-0063,Private,4044.381899,0.092842831
2,3,04-033-0064,Private,6010.244167,0.137971165
2,3,04-040-0001,Private,7939.485927,0.182258839
2,3,04-040-0003,Private,231.5917343,0.00531642
2,3,04-040-0007,Private,6066.993656,0.139273906
2,3,04-040-0015,Private,98589.31034,2.263216208
2,3,04-040-0018,Private,78871.47326,1.81057354
2,3,04-040-0019,Private,44355.38044,1.018222113
2,3,04-040-0020,Private,75327.93515,1.729228079
2,3,04-040-0021,Private,71905.38912,1.650660113
2,3,04-040-0022,Private,4044.661014,0.092849238
2,3,04-040-0026,Private,1060.462463,0.024343976
2,3,04-040-0027,Private,2128.496003,0.048861754
2,3,04-040-0034,Private,998280.1701,22.91651958
2,3,04-040-0035,Private,363401.1631,8.342237099
2,3,04-040-0036,Private,1691.94081,0.038840193
2,3,04-040-0037,Private,86452.49586,1.984603495
2,3,04-041-0003,State,60273.42516,1.383636748
2,3,04-041-0004,Private,11337.58412,0.260265581
2,3,04-045-0001,Private,20122.95286,0.461942506
2,3,Canal,Private,8489.969662,0.194895744
3,3,04-002-0026,Private,621877.03,14.2758091
3,3,04-039-0001,Private,916732.4894,21.04451103
3,3,04-039-0003,Private,275557.1743,6.325690494
3,3,04-039-0004,Private,391589.415,8.989326611
3,3,04-039-0005,Private,3716.004774,0.085304606
3,3,04-046-0001,Private,159420.5025,3.659657056
3,3,04-046-0002,Private,132144.8177,3.033516435
3,3,04-046-0003,Private,92638.98048,2.126620436
3,3,04-046-0014,Private,137112.9746,3.147565446
3,3,04-046-0015,Private,469.5661571,0.010779361
3,3,04-046-0028,Private,43585.20819,1.000542039
4,3,04-041-0019,Private,574192.4764,13.18116249
4,3,04-044-0001,Private,123462.5421,2.834206117
4,3,04-044-0020,Private,22297.51262,0.5118617
4,3,04-044-0021,Private,358685.2589,8.233978804
4,3,04-044-0022,Private,388186.3657,8.91120621
4,3,04-044-0023,Private,343963.4077,7.896023988
4,3,04-045-0001,Private,20122.95286,0.461942506
4,3,04-045-0002,Private,89419.77054,2.052720253
4,3,04-045-0008,Private,5024.0253,0.115331525
4,3,04-045-0010,Private,1921.815904,0.044117206
4,3,04-045-0011,Private,2168.490567,0.049779869
4,3,04-045-0012,Private,2812.023823,0.064552819
4,3,04-045-0013,Private,4984.917585,0.114433768
4,3,04-045-0014,Private,128983.3812,2.960942498
4,3,04-045-0015,Private,3389.153359,0.077801405
4,3,04-045-0016,Private,68606.69294,1.574935243
4,3,04-045-0018,Private,165164.2783,3.791511172
4,3,04-045-0019,Private,24936.76298,0.572448331
4,3,04-045-0020,Private,31354.47538,0.719773337
4,3,04-045-0024,Private,19709.21223,0.452444676
4,3,04-045-0026,Private,1749.581394,0.04016339
4,3,04-045-0028,Private,2060.17887,0.047293466
4,3,04-045-0033,Private,1764.68477,0.040510104
4,3,04-045-0034,Private,9531.633621,0.218808181
4,3,04-045-0035,Private,4968.091296,0.114047504
4,3,04-045-0037,Private,7440.116062,0.170795304
4,3,04-045-0039,Private,74492.62065,1.7100526
4,3,04-045-0040,Private,12279.07109,0.281878356
4,3,04-045-0044,Private,1648.584668,0.03784491
4,3,04-045-0045,Private,39040.69452,0.896218184
4,3,04-045-0046,Private,18553.35876,0.425910904
4,3,04-045-0047,Private,20453.33679,0.469526799
4,3,04-045-0048,Private,22746.04897,0.5221583
4,3,04-045-0049,Private,214786.5513,4.930640071
4,3,04-045-0050,Private,3103.418415,0.071242073
4,3,04-045-0053,Private,30794.9595,0.70692909
4,3,04-045-0054,Private,595563.8908,13.67176468
4,3,04-045-0055,Private,127350.808,2.923465149
4,3,04-046-0002,Private,132144.8177,3.033516435
4,3,04-105-0001,Private,2558.24881,0.05872716
4,3,04-105-0002,Private,2038.535358,0.046796618
4,3,04-105-0003,Private,2018.341851,0.046333056
4,3,04-105-0004,Private,2471.182608,0.056728468
4,3,04-105-0005,Private,2771.267398,0.063617214
4,3,04-105-0006,Private,2278.949349,0.052315561
4,3,04-105-0007,Private,2263.469664,0.05196021
4,3,04-105-0008,Private,2813.615464,0.064589357
4,3,04-105-0009,Private,5690.174993,0.130623657
4,3,04-105-0010,Private,4072.860265,0.09349658
4,3,04-105-0011,Private,5326.949808,0.12228546
4,3,04-105-0012,Private,4121.805895,0.094620176
4,3,04-105-0013,Private,4093.131955,0.093961937
4,3,04-105-0014,Private,4049.104218,0.092951236
4,3,04-105-0015,Private,4054.120361,0.093066387
4,3,04-112-0001,Private,2877.261588,0.066050417
4,3,04-112-0002,Private,16184.97299,0.37154224
5,3,03-069-0010,Private,26158.55142,0.600495706
5,3,03-069-0011,Private,107949.7844,2.478095251
5,3,03-069-0013,Private,2831.351146,0.064996497
5,3,03-069-0014,Private,265275.6551,6.08966794
5,3,03-069-0015,Private,81088.24895,1.861461843
5,3,03-069-0016,Private,113160.9344,2.597722411
5,3,03-069-0020,Private,13281.62575,0.304893001
5,3,03-069-0021,Private,12256.91632,0.281369771
5,3,03-069-0027,Private,12221.90822,0.280566125
5,3,03-069-0028,Private,6030.707092,0.138440912
5,3,03-069-0029,Private,2023.749796,0.0464572
5,3,03-069-0036,Private,7148.071414,0.164091127
5,3,03-069-0037,Private,38453.65413,0.882742084
5,3,04-045-0005,Private,10343.26675,0.237440032
5,3,04-045-0006,Private,9052.285879,0.207804275
5,3,04-045-0036,Private,372864.938,8.559487516
5,3,04-045-0038,Private,23761.53743,0.545469853
5,3,04-045-0040,Private,12279.07109,0.281878356
5,3,04-045-0041,Private,5705.223773,0.130969117
5,3,04-045-0043,Private,1261.285501,0.02895407
5,3,04-045-0054,Private,595563.8908,13.67176468
5,3,04-105-0016,Private,11919.59746,0.273626279
5,3,04-105-0017,Private,7255.944896,0.166567471
5,3,04-105-0018,Private,7141.73691,0.163945713
5,3,04-105-0019,Private,592.9283475,0.013611263
5,3,04-105-0020,Private,120.8095681,0.002773304
5,3,04-105-0021,Private,173170.6675,3.975305842
6,3,03-068-0001,Private,133975.5033,3.075541655
6,3,03-068-0002,Private,71208.93448,1.6346723
6,3,03-068-0003,Private,106704.7019,2.449513137
6,3,03-068-0004,Private,120524.1146,2.766751574
6,3,03-068-0005,Private,122208.5664,2.80541985
6,3,03-068-0006,Private,78761.91435,1.808058506
6,3,03-068-0007,Private,170411.9948,3.911977753
6,3,03-068-0008,Private,3806.748112,0.08738771
6,3,03-068-0009,Private,204553.1065,4.695721113
6,3,03-068-0012,Private,75606.98666,1.735633986
6,3,03-068-0014,Private,33765.38384,0.775118151
6,3,03-068-0018,Private,96279.27741,2.210187092
6,3,03-068-0020,Private,381609.0971,8.760218432
6,3,03-068-0024,Private,55918.61193,1.283667655
6,3,03-068-0030,Private,1301.240759,0.029871283
6,3,03-068-0036,Private,3245.03599,0.074493046
6,3,03-068-0038,Private,1964.200448,0.045090185
6,3,03-068-0039,Private,265955.1641,6.105266748
6,3,03-068-0040,Private,22297.29009,0.511856591
6,3,03-068-0042,Private,28105.04749,0.64517947
6,3,03-068-0043,Private,22281.6037,0.511496495
6,3,03-074-0001,Private,2617.121651,0.060078645
6,3,03-074-0007,Private,12047.84933,0.276570429
6,3,03-074-0008,Private,2154.749479,0.049464429
6,3,03-074-0013,Private,30774.50164,0.70645946
6,3,03-074-0016,Private,4218.225297,0.09683358
6,3,03-074-0017,Private,30419.23733,0.698304012
6,3,03-074-0020,Private,4045.640907,0.092871733
6,3,03-074-0023,Private,1408.37017,0.032330546
6,3,03-074-0025,Private,1697.623153,0.038970637
6,3,03-074-0026,Private,2347.913218,0.053898696
6,3,03-074-0027,Private,3586.582899,0.082333597
6,3,03-074-0028,Private,40585.48924,0.931680491
6,3,03-074-0041,Private,7641.260677,0.17541278
6,3,03-074-0042,Private,5784.427153,0.13278731
6,3,04-046-0003,Private,92638.98048,2.126620436
6,3,04-046-0005,Private,225029.9606,5.165787776
6,3,04-046-0006,Private,45154.08382,1.036557148
6,3,04-046-0007,Private,17194.07923,0.394707283
6,3,04-046-0008,Private,3249.850876,0.074603577
6,3,04-046-0009,Private,76333.25128,1.752306116
6,3,04-046-0010,Private,107830.6135,2.475359565
6,3,04-046-0011,Private,87407.49285,2.006526406
6,3,04-046-0012,Private,3554.560637,0.081598494
6,3,04-046-0013,Private,111613.1035,2.562190403
6,3,04-046-0016,Private,92619.53173,2.12617397
6,3,04-046-0017,Private,2355.442329,0.054071534
6,3,04-046-0018,Private,52697.50302,1.209723879
6,3,04-046-0019,Private,69318.28998,1.591270665
6,3,04-046-0020,Private,69953.7892,1.605859185
6,3,04-046-0021,Private,62686.93378,1.439041252
6,3,04-046-0024,Private,12520.62622,0.287423495
6,3,04-046-0025,Private,45171.04497,1.036946508
6,3,04-046-0026,Private,14725.79712,0.338045399
6,3,04-046-0029,Private,4443.007048,0.10199367
6,3,04-046-0030,Private,4044.654454,0.092849088
6,3,04-046-0031,Private,118082.2325,2.71069573
6,3,04-046-0032,Private,17955.84796,0.412194446
6,3,04-046-0033,Private,352.3753172,0.008089128
6,3,04-046-0034,Private,4044.681041,0.092849698
7,3,03-003-0050,Private,550482.9736,12.63688714
7,3,03-066-0046,Private,395558.285,9.080435991
7,3,03-067-0008,Private,385098.1287,8.840312642
7,3,03-067-0029,Private,470427.7275,10.79913891
7,3,03-067-0030,Private,727847.3651,16.70846411
7,3,03-068-0018,Private,96279.27741,2.210187092
7,3,03-068-0020,Private,381609.0971,8.760218432
7,3,03-075-0021,Private,2676.512059,0.061442011
7,3,03-075-0023,Private,127559.5871,2.928257881
7,3,03-075-0053,Private,10911.53759,0.250485257
7,3,03-250-0001,Private,4338.921531,0.099604283
7,3,03-250-0002,Private,16838.30453,0.386540119
7,3,03-250-0003,Private,232.0331136,0.005326552
7,3,03-250-0004,Private,18762.26878,0.430706642
7,3,03-250-0005,Private,268283.4688,6.15871531
7,3,03-250-0006,Private,2912.998778,0.0668708
7,3,03-250-0007,Private,4608.554191,0.10579397
7,3,03-250-0008,Private,30055.80936,0.68996116
7,3,03-250-0009,Private,40012.69388,0.918531401
7,3,03-250-0010,Private,11610.19299,0.26652359
7,3,03-250-0011,Private,22853.27017,0.52461967
7,3,03-250-0012,Private,61992.92346,1.423109551
7,3,03-257-0001,Private,18233.46774,0.418567485
7,3,03-257-0002,Private,882986.4301,20.26983649
7,3,03-257-0003,Private,509060.4494,11.68599168
7,3,03-257-0004,Private,214358.2577,4.920808164
7,3,04-002-0018,Private,1843704.234,42.32407439
7,3,04-002-0019,Private,279591.0589,6.418292348
7,3,04-002-0020,Private,202203.3955,4.641781148
7,3,04-002-0022,Private,21242.91424,0.487652339
7,3,04-002-0023,Private,157876.9159,3.624222482
7,3,04-002-0024,Private,294851.0494,6.768600691
7,3,04-002-0027,Private,5669787.303,130.1556373
7,3,04-002-0028,Private,23546.54936,0.540534587
7,3,04-028-0152,Private,30077.65086,0.690462553
7,3,04-034-0001,Private,105871.7207,2.43039122
7,3,04-034-0005,Private,550072.7142,12.62746923
7,3,04-034-0021,Private,309433.8513,7.103363491
7,3,04-034-0026,Private,5028.798569,0.1154411
7,3,04-037-0016,Private,33660.89356,0.772719473
7,3,04-037-0064,Private,477963.3995,10.9721278
7,3,04-038-0002,Private,132919.7505,3.051305792
7,3,04-039-0002,Private,81716.89261,1.875892987
7,3,04-046-0014,Private,137112.9746,3.147565446
7,3,04-046-0022,Private,47065.92586,1.080445394
7,3,04-046-0023,Private,4822.962801,0.110715934
7,3,04-046-0027,Private,24453.96528,0.561365227
7,3,04-047-0009,Private,726805.4858,16.68454673
7,3,04-047-0011,Private,872988.7485,20.04032971
7,3,UNKNOWN OWNERSHIP,Private,358326.4638,8.225742302
8,3,04-002-0027,Private,5669787.303,130.1556373
8,3,04-028-0024,Private,84397.7576,1.937434923
8,3,04-028-0029,Private,83467.92984,1.916089797
8,3,04-028-0030,Private,18693.78114,0.42913444
8,3,04-028-0032,Private,59945.31316,1.376104609
8,3,04-028-0034,Private,16180.88591,0.371448417
8,3,04-028-0063,Private,8089.219311,0.185696119
8,3,04-028-0064,Private,17842.98092,0.40960347
8,3,04-028-0073,Private,31577.55619,0.72489438
8,3,04-028-0078,Private,40455.06365,0.928686441
8,3,04-028-0079,Private,115908.0362,2.660784878
8,3,04-028-0129,Private,41937.72437,0.962722401
8,3,04-028-0130,Private,18230.82202,0.41850675
8,3,04-028-0153,Private,94947.42649,2.179613123
8,3,04-028-0154,Private,118807.521,2.727345451
8,3,04-034-0002,Private,229210.5025,5.261756296
8,3,04-034-0003,Private,162555.5298,3.731624743
8,3,04-034-0004,Private,25820.24575,0.592729562
8,3,04-034-0006,Private,48316.88939,1.109162513
8,3,04-034-0007,Private,86912.03456,1.995152665
8,3,04-034-0014,Private,91129.89354,2.091977836
8,3,04-034-0015,Private,80389.62134,1.845424147
8,3,04-034-0016,Private,126912.6097,2.913405869
8,3,04-034-0017,Private,101568.4957,2.331606386
8,3,04-034-0018,Private,99659.47519,2.287782913
8,3,04-034-0019,Private,120194.3073,2.759180518
8,3,04-034-0020,Private,68113.54828,1.563614614
8,3,04-034-0021,Private,309433.8513,7.103363491
8,3,04-034-0028,Private,106914.4715,2.454328607
8,3,04-034-0029,Private,22245.48126,0.510667268
8,3,04-035-0042,Private,95838.3232,2.200064547
8,3,04-035-0043,Private,100090.8998,2.297686695
8,3,04-035-0048,Private,97347.78308,2.234715708
8,3,04-037-0016,Private,33660.89356,0.772719473
8,3,04-037-0061,Private,176330.1323,4.047834517
8,3,04-037-0064,Private,477963.3995,10.9721278
8,3,04-037-0066,Private,456316.3396,10.47519789
8,3,04-037-0070,Private,38370.02404,0.880822272
8,3,04-037-0075,Private,391831.3337,8.994880097
8,3,04-038-0002,Private,132919.7505,3.051305792
